n_states,rho,delta,m,tau_definition,tau_direct_tv,tv_at_tau,tv_before_tau
32,0.5,0.1,0.96875,4,4,0.060546875,0.12109375
32,0.5,0.05,0.96875,5,5,0.0302734375,0.060546875
32,0.5,0.01,0.96875,7,7,0.007568359375,0.01513671875
32,0.5,0.001,0.96875,10,10,0.000946044921875,0.00189208984375
32,0.5,0.007568359375,0.96875,7,7,0.007568359375,0.01513671875
32,0.75,0.1,0.96875,8,8,0.0969843864440918,0.12931251525878906
32,0.75,0.05,0.96875,11,11,0.04091528803110123,0.054553717374801636
32,0.75,0.01,0.96875,16,16,0.009709389640192967,0.012945852853590623
32,0.75,0.001,0.96875,24,24,0.0009720353001297921,0.0012960470668397228
32,0.75,0.12931251525878906,0.96875,7,7,0.12931251525878906,0.17241668701171875
32,0.875,0.1,0.96875,18,18,0.08757026620374847,0.10008030423285541
32,0.875,0.05,0.96875,23,23,0.04491557202412109,0.05133208231328122
32,0.875,0.01,0.96875,35,35,0.009046770460307881,0.01033916624035185
32,0.875,0.001,0.96875,52,52,0.0009346101057986847,0.0010681258351984742
32,0.875,0.3804241567850113,0.96875,7,7,0.3804241567850113,0.43477046489715576
32,0.9375,0.1,0.96875,36,36,0.09488065320034257,0.10120603008036544
32,0.9375,0.05,0.96875,46,46,0.0497611524503852,0.05307856261374423
32,0.9375,0.01,0.96875,71,71,0.00991225212060755,0.010573068928648045
32,0.9375,0.001,0.96875,107,107,0.0009708190512409606,0.0010355403213236896
32,0.9375,0.6166101229609922,0.96875,7,7,0.6166101229609922,0.657717464491725
128,0.5,0.1,0.9921875,4,4,0.06201171875,0.1240234375
128,0.5,0.05,0.9921875,5,5,0.031005859375,0.06201171875
128,0.5,0.01,0.9921875,7,7,0.00775146484375,0.0155029296875
128,0.5,0.001,0.9921875,10,10,0.00096893310546875,0.0019378662109375
128,0.5,0.00775146484375,0.9921875,7,7,0.00775146484375,0.0155029296875
128,0.75,0.1,0.9921875,8,8,0.09933078289031982,0.13244104385375977
128,0.75,0.05,0.9921875,11,11,0.041905174031853676,0.0558735653758049
128,0.75,0.01,0.9921875,16,16,0.009944294228262152,0.013259058971016202
128,0.75,0.001,0.9921875,24,24,0.0009955522831974484,0.0013274030442632645
128,0.75,0.13244104385375977,0.9921875,7,7,0.13244104385375977,0.1765880584716797
128,0.875,0.1,0.9921875,18,18,0.08968890167641985,0.1025016019159084
128,0.875,0.05,0.9921875,23,23,0.04600223908922079,0.05257398753053803
128,0.875,0.01,0.9921875,35,35,0.009265643939186295,0.010589307359070037
128,0.875,0.001,0.9921875,52,52,0.000957221640616397,0.001093967589275858
128,0.875,0.38962796702980995,0.9921875,7,7,0.38962796702980995,0.44528910517692566
128,0.9375,0.1,0.9921875,36,36,0.09717615287454445,0.10365456306618076
128,0.9375,0.05,0.9921875,47,47,0.04777973559374187,0.05096505129999129
128,0.9375,0.01,0.9921875,72,72,0.009517560629918058,0.010152064671912576
128,0.9375,0.001,0.9921875,107,107,0.0009943066089322748,0.001060593716194423
128,0.9375,0.6315281098068226,0.9921875,7,7,0.6315281098068226,0.6736299837939441
512,0.5,0.1,0.998046875,4,4,0.0623779296875,0.124755859375
512,0.5,0.05,0.998046875,5,5,0.03118896484375,0.0623779296875
512,0.5,0.01,0.998046875,7,7,0.0077972412109375,0.015594482421875
512,0.5,0.001,0.998046875,10,10,0.0009746551513671875,0.001949310302734375
512,0.5,0.0077972412109375,0.998046875,7,7,0.0077972412109375,0.015594482421875
512,0.75,0.1,0.998046875,8,8,0.09991738200187683,0.13322317600250244
512,0.75,0.05,0.998046875,11,11,0.04215264553204179,0.05620352737605572
512,0.75,0.01,0.998046875,17,17,0.007502265281459586,0.010003020375279448
512,0.75,0.001,0.998046875,25,25,0.0007510736467232718,0.0010014315289643624
512,0.75,0.13322317600250244,0.998046875,7,7,0.13322317600250244,0.17763090133666992
512,0.875,0.1,0.998046875,18,18,0.09021856054458764,0.10310692633667162
512,0.875,0.05,0.998046875,23,23,0.04627390585549574,0.052884463834852256
512,0.875,0.01,0.998046875,35,35,0.009320362308905901,0.010651842638749586
512,0.875,0.001,0.998046875,52,52,0.000962874524320824,0.0011004280277952037
512,0.875,0.3919289195910096,0.998046875,7,7,0.3919289195910096,0.44791876524686813
512,0.9375,0.1,0.998046875,36,36,0.09775002779309491,0.10426669631263455
512,0.9375,0.05,0.998046875,47,47,0.0480618993866183,0.05126602601239283
512,0.9375,0.01,0.998046875,72,72,0.009573766696630175,0.010212017809738835
512,0.9375,0.001,0.998046875,108,108,0.0009376673422079096,0.0010001784983551035
512,0.9375,0.6352576065182802,0.998046875,7,7,0.6352576065182802,0.6776081136194989
